avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[0.6639361108542504, -1.0439442810214794, -0.9767728928455957, 0.22128060057701598, -1.0889607417053007, -0.719281192250962]","[4, 2]","[5, 5, 5, 4, 3, 6, 1, 1, 1, 2, 2, 2, 2, 2, 2]"
0.2,1,"[2.292139800436718, 2.426360783426609, 2.20017149302373, -0.49593767165535935, 2.122920747099722, 0.1277755912100655]","[2, 3]","[6, 6, 4, 3, 2, 2, 2, 2]"
0.4,1,"[-1.0619622044991321, 0.9536181275775911, -0.1198056342304138, -0.02290293109080016, -1.2221131246433954, -0.6633559818051219]","[2, 1]","[2, 2, 2, 6, 6, 1, 4, 5, 5, 5, 5, 1, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 4, 4, 2, 2, 2, 2]"
0.6,1,"[1.6663104018331327, 0.8660396381270307, -0.39580174235016197, 2.1674750643017173, -0.32445861882151383, 1.9608731010775968]","[6, 4]","[4, 2, 2, 3, 3, 1, 1, 1, 1, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4]"
0.8,1,"[0.3042262932657733, 1.6900583932162925, 0.8072595153651088, -1.090692999341653, -0.6266651538402683, 0.4356955768293582]","[2, 4]","[4, 4, 3, 3, 6, 6, 6, 6, 1, 2, 2, 2, 5, 5, 5]"
1.0,1,"[0.7382383874627935, 0.6222581874628879, 0.8291633422536795, 1.2451690268547575, -0.037331182476418645, 2.1171687086577773]","[4, 5]","[4, 4, 4, 5, 5, 5]"
1.2,1,"[0.9546376557868249, 1.8516534938614124, 0.837803293184596, 0.3563156888254655, 0.34819418263983315, 0.37359424380753925]","[2, 4]","[3, 3, 6, 6, 5, 5, 5, 4, 4, 2, 2, 4, 4, 4, 4]"
1.4,1,"[0.782005496437796, -0.16408110186814207, 0.12864881802299477, 1.1766475959120866, 0.7139957937380046, 1.8923090236718787]","[4, 6]","[1, 1, 6, 6, 6, 4, 4, 4, 4]"
1.6,1,"[1.001069000896738, 1.842436845952454, -0.1791218431994237, -0.8032338207306333, 1.3106059252987914, 1.0572257688913205]","[2, 1]","[5, 4, 1, 2, 2]"
1.8,1,"[2.1768299578445935, 1.84595853828038, 2.595515827864764, 1.6981821387263447, 1.0761163815753148, 1.6592687678057776]","[2, 1]","[6, 1, 1, 5, 5, 5, 5, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
2.0,1,"[0.8204814763619561, 2.387189506519845, 2.0424792585319222, 1.3964459459502092, 2.5000849527584066, 2.638984137080387]","[1, 3]","[3, 1, 1]"
0.0,2,"[1.3988397795715206, -2.6576951452057296, -1.884846145710766, 2.134233279137783, -1.461417212982139, -1.5508937400276546]","[1, 4]","[4, 2, 3, 3, 3, 1, 1, 1]"
0.2,2,"[-2.1769171264988225, 1.6720457202841514, 0.2194023164269865, 0.5971440477063237, -0.00853003501180813, 1.590912709086477]","[4, 2]","[2, 3, 4, 6, 5, 5, 5, 1, 1, 4, 4, 4, 4, 4]"
0.4,2,"[1.6951632172199589, -2.5338116599605307, -1.44651622554903, 0.3410733801636622, 0.8980880880542603, 0.19587628375602797]","[5, 6]","[2, 3, 6, 6, 5, 5, 1, 1, 1, 4, 4, 4]"
0.6,2,"[-1.7033454346928423, 1.417992824277273, 2.151335364682473, -0.8350532608063609, -0.25583912668062336, -0.16303263559510583]","[3, 2]","[5, 3, 1, 1, 1, 1, 4, 4, 2, 2, 6, 6, 6, 6, 3]"
0.8,2,"[0.9563772208634218, -0.018812487586126192, 0.48226627864733534, 1.2447310918189065, -1.8749061976434562, 1.1247342647095577]","[6, 4]","[4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 5, 5, 6, 6]"
