avg_value_idx,trial_idx,ss,choice,fixations
1.4,2,"[1.4436914962510752, 1.7482171544044067, 1.5966780548213984, 3.206581616740529, 0.5461618055498851, 1.2548542998881016]","[3, 2, 1]","[5, 2, 3, 6, 6, 1, 3, 5, 1, 1, 3, 4, 1, 5, 5, 2, 2, 3, 3, 5, 6, 5, 6, 6, 6, 3, 3, 1, 1, 1, 1, 2, 6, 6, 6, 3, 2, 1, 1, 2, 2, 2, 2, 2, 3, 6, 6, 6, 1, 2, 2]"
1.6,2,"[2.5999988982679643, 1.9910683996882284, 1.8586046947033967, 1.9126745205730649, 2.247736249359436, 0.16216142331568895]","[1, 4, 5]","[1, 2, 3, 6, 4, 2, 3, 5, 1, 5, 5, 2, 2, 5, 5, 4, 1]"
1.8,2,"[2.2829714917661383, 3.2279063293640933, 2.038925857220501, 2.975780164113618, 1.5908756581851562, 1.5897802926913243]","[2, 4, 1]","[5, 2, 1, 6, 6, 1, 5, 5, 6, 3, 3, 3, 3, 2, 5, 4, 4, 4, 4, 1, 2, 2, 1, 1, 3, 2, 2, 1]"
2.0,2,"[1.320530584726856, 4.097608471399315, 1.975231068516415, 2.053690016937959, 2.741222267528769, 4.177026260455342]","[6, 1, 2]","[5, 4, 2, 3, 1, 3, 4, 6, 6, 1, 2, 3, 6, 1, 1, 3, 2, 2, 1, 3, 3, 3, 1, 6, 2]"
0.0,3,"[1.0206769758293859, -0.675673501521612, -0.29494357714624647, 0.6395018887384066, -0.3815730555437554, 1.594620498660205]","[6, 4, 3]","[3, 1, 5, 4, 2, 6, 2, 5, 5, 2, 4, 4, 5, 2, 1, 3, 3, 3, 3, 6, 6, 5, 5]"
0.2,3,"[0.592467236304387, 3.1180334134991132, -0.9471792011220146, -2.2152704578940483, -1.3042662426600666, -0.7499362957411826]","[2, 1, 6]","[1, 3, 6, 4, 5, 4, 2, 2, 6, 6, 5, 4, 5, 5, 4, 6, 6, 1, 4, 4, 2]"
0.4,3,"[-1.4574657649496738, -1.4254708060869468, -0.14277774165345647, 0.8604556650048806, 1.212248679923035, -2.00783860917095]","[4, 5, 2]","[5, 6, 4, 3, 2, 1, 6, 3, 1, 1, 3, 2, 2, 6, 6, 1, 1, 3, 3, 6, 6, 6, 3, 5, 3, 3, 2, 6, 6, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2]"
0.6,3,"[-1.1004238799445298, 0.7970206059868649, 0.0718191802091579, -0.37517627560957956, 1.3392220788578726, 0.33872331906073866]","[2, 5, 4]","[3, 4, 1, 6, 5, 2, 4, 3, 6, 3, 4, 1, 1, 6, 4, 3, 3, 4, 4, 2, 5, 5, 3, 1]"
0.8,3,"[0.9361617916519371, 1.219078025955029, -0.7487892328844801, -0.07189383804842342, 2.624494953052886, 0.5817496729412079]","[2, 5, 6]","[1, 3, 4, 5, 6, 2, 3, 1, 6, 5, 5, 6, 2, 2, 1, 2, 1, 5, 5, 6, 6, 2, 1, 5, 6, 6, 2, 5, 5, 1, 1]"
1.0,3,"[0.7792101762389365, 0.6195439251232082, 1.5610855493601603, 0.5867588953801077, 1.8700508466903085, -0.05275913979400704]","[4, 1, 3]","[5, 3, 4, 2, 2, 5, 1, 3, 3, 6, 6, 4, 1, 1, 2, 2, 1, 6, 6, 3, 3, 4, 2, 2, 3, 4, 1, 1, 2, 2]"
1.2,3,"[0.23325648422763123, 2.239852414993781, 0.8315278072597543, 1.1254732077716005, 2.141803810927667, 0.3195958260078914]","[2, 5, 3]","[5, 1, 2, 4, 5, 2, 4, 4, 5, 5, 4, 4, 5, 5, 1, 1, 1, 1, 2, 1, 2, 4, 4, 5, 5, 5, 4, 4, 1, 1, 1, 1, 1, 5, 5, 5, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1]"
1.4,3,"[2.7080604129794166, 1.5639744885602254, 1.9150572140392992, 1.6468790567400806, 1.5239256348070849, 1.0383910543626491]","[2, 4, 1]","[5, 3, 1, 6, 2, 4, 4, 6, 1, 1, 2, 4, 6, 6, 1, 2, 4, 6, 1]"
1.6,3,"[2.4224351593883533, 1.952491780111102, 2.308025251301005, 1.090103569798596, 2.876159153411426, 1.2232430412377182]","[5, 3, 1]","[4, 5, 1, 3, 4, 1, 5, 5, 3, 1, 1, 5, 4, 4, 5, 4, 3, 1, 1, 1, 4, 4, 3, 1, 5, 4, 4]"
1.8,3,"[2.802609395340107, 1.8623888585136517, 1.4733353734923278, 3.1684997721625603, 3.2984169856457477, 0.8229587157625663]","[4, 3, 5]","[6, 2, 3, 5, 4, 6, 3, 3, 6, 5, 6, 3, 4, 4, 6, 5, 5, 5, 3, 3, 6, 6, 3, 3, 3, 5, 4, 5, 5, 6, 6, 5, 5, 6, 6, 3]"
2.0,3,"[2.080217833729224, 0.8907372127732482, 1.693855501711395, 1.58941619686762, 3.7579503600073156, 2.633283689314827]","[3, 6, 2]","[4, 6, 5, 3, 1, 1, 3, 6, 4, 4, 6, 6, 1, 1, 4, 4, 2, 2, 2, 3, 3, 1, 6, 6, 1, 1, 6, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 6, 6, 6]"
0.0,4,"[0.21902326582204998, -0.21635527574211938, -0.614216261668453, -1.60585910746567, 0.3299460228923913, -0.211327520789495]","[6, 1, 2]","[5, 6, 3, 2, 1, 4, 2, 1, 6, 5, 4, 4, 3, 3, 2, 2, 3, 4, 4, 2, 2, 6, 6, 6, 1, 1, 1, 1, 4]"
0.2,4,"[1.2212956360733063, 0.03581500839553167, -1.8502035045425178, -0.335906439597687, -1.8257276822324575, -0.9193019186520026]","[1, 2, 5]","[4, 6, 5, 3, 2, 1, 4, 6, 6, 4, 4, 2, 2, 2, 2, 5, 5, 6, 6, 4, 4, 5, 5, 3, 6, 5, 5, 4, 6, 6, 6, 3, 4, 5, 5, 5, 4, 4, 4, 3, 6, 6, 6, 6]"
0.4,4,"[0.9563705262612906, 0.036332578362360035, -0.030233963991411372, 0.7422749065463987, 0.06745905290672649, 0.5771157553476302]","[4, 1, 3]","[3, 5, 1, 6, 2, 4, 5, 1, 3, 3, 5, 5, 2, 2, 2, 3, 3, 2, 2, 2, 5, 5, 5, 5, 6, 3, 3, 3, 3, 1, 5, 5, 5, 3, 4, 4, 3, 3, 1]"
0.6,4,"[1.2240820169170066, -1.8718377654772023, 0.07743680366696792, -0.05849334594030009, -1.0822232110925176, 0.4661707683818234]","[1, 4, 6]","[4, 1, 2, 6, 3, 6, 5, 4, 4, 6, 3, 1, 6, 5, 1, 1, 3, 3, 4, 4, 3, 3, 4, 4, 1, 1, 5, 5, 5, 5, 5, 6, 6, 6, 6, 3, 3, 3, 3, 6, 2, 5, 6, 6, 6, 4, 3]"
0.8,4,"[0.45723654462943647, 0.9235314971048001, 2.599839378836424, 0.594399651765341, -0.08296356842696861, 1.045515670313435]","[6, 3, 1]","[3, 2, 1, 6, 3, 1, 2, 1, 3, 2, 4, 4, 3, 1, 1, 4, 4, 4, 3, 4, 1, 5, 5, 4, 1, 1, 1, 6, 4]"
1.0,4,"[1.2702152734083816, 1.4280460995861093, 0.3532058106723249, -0.572404906387108, 0.040920708785646465, 0.963659879920945]","[1, 2, 5]","[6, 5, 4, 2, 1, 3, 1, 4, 4, 2, 2, 1, 6, 6, 3, 3, 3, 2, 2, 3, 4, 4, 6, 6, 6, 2, 2, 1, 5, 6, 6, 1, 1, 1, 2, 2, 1, 5, 1, 6, 6, 6, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 5, 5, 1, 5, 2, 2, 2]"
1.2,4,"[1.571807480023089, 0.503070679998613, 0.18134299151476263, 2.0510263997366396, 3.755323779149972, -1.22443255317666]","[5, 1, 4]","[4, 1, 3, 2, 6, 5, 1, 2, 6, 5, 6, 2, 5, 6, 2, 2, 6, 6, 6, 2, 2, 2, 6, 6, 6, 2, 3, 3, 2, 2, 2, 6, 6, 6, 6, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
1.4,4,"[0.40359788802895147, 2.1198459869528845, 2.779124612659618, 2.7225206807539166, 0.9682199447969857, 2.0675931332554467]","[6, 3, 2]","[1, 6, 2, 3, 2, 1, 4, 6, 4, 4, 2, 2, 3, 4, 5, 4, 2, 6, 3, 3, 2, 2, 4]"
1.6,4,"[1.5169746907503232, -0.6069605218548846, 1.4794877953658339, 0.9973180584589543, 1.0947596638942538, 2.0196252075583385]","[1, 4, 6]","[4, 5, 2, 1, 6, 3, 3, 1, 2, 2, 6, 6, 5, 5, 3, 3, 5, 4, 4, 4, 4, 6, 6, 3, 3, 6, 1, 1, 1, 1]"
1.8,4,"[0.8072532109361023, 2.454347264891037, 1.0647112675183772, 1.4880181882104253, 0.07879121792894961, 2.607729414821722]","[4, 5, 2]","[2, 5, 4, 6, 3, 3, 2, 4, 4, 2, 3, 5, 5, 5, 4, 2, 3, 3, 4, 4, 3, 3, 1, 4]"
2.0,4,"[1.5490765890683953, -0.38531132631287823, 1.7589651208790926, 0.9700858299698354, 1.6677909498125432, 0.9970075570525603]","[5, 3, 4]","[3, 5, 1, 6, 4, 4, 1, 6, 6, 2, 2, 1, 5, 4, 2, 2, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 3, 1, 5, 1, 1, 3, 3, 5, 4, 4, 4, 4, 4, 1, 1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 5, 5]"
0.0,5,"[1.0147309329908039, 0.3192351988926245, 0.769838140032832, -1.5369620651328337, 0.3224168871940104, 0.37197183158602426]","[3, 1, 6]","[6, 4, 3, 2, 5, 1, 6, 2, 5, 4, 6, 1, 1, 2, 2, 6, 3, 1, 1]"
0.2,5,"[-0.23455450272866013, 0.3639424744978297, -0.5364643328747409, -1.21706572998479, 0.3698907698010404, -0.39365392968749985]","[2, 5, 6]","[4, 6, 5, 2, 3, 1, 3, 6, 4, 6, 3, 1, 4, 3, 6, 6, 3, 3, 6, 2, 2, 6, 3, 3, 3, 6, 6, 6]"
0.4,5,"[0.06796544995043685, 0.5805325494916083, 0.23785630701644953, 0.3537290766548424, 1.8464895430656258, -0.379112528202029]","[2, 5, 1]","[2, 4, 1, 6, 3, 5, 4, 1, 5, 3, 5, 4, 6, 6, 6, 2, 1, 1, 5, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 1, 1, 5, 5, 5, 1, 1, 1, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
