avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-1.1368341169345577, -1.1132706597313322, -0.8440650796368534, 0.2894161993311684, -0.279620643304993, -0.3689443228802588]","[5, 6, 3, 4]","[2, 4, 5, 6, 1, 3, 3, 4, 4, 1, 3, 3, 4, 4, 6, 3, 3, 4, 4, 4, 1, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4]"
0.2,1,"[0.9450416944693727, 1.087930051262042, -0.5318624650925157, 0.909213339768076, -1.1475763812085789, -0.10555920356500181]","[2, 6, 4, 1]","[2, 3, 5, 6, 4, 1, 1, 3, 3, 4, 4, 6, 5, 1, 1]"
0.4,1,"[1.34371345426413, 1.872238510730996, 0.5412485055408314, 0.2120624327347783, 0.8737798780407694, 0.3224608707295896]","[1, 2, 3, 5]","[2, 4, 3, 1, 5, 6, 6, 3, 3, 6, 6, 4, 4, 4, 5, 5, 3, 1, 2, 5, 1, 2, 6, 3, 2, 6, 6, 3, 3, 1, 1, 1]"
0.6,1,"[0.24696344648989021, 1.6272397420440865, 1.350780706682102, 1.3223378925970652, 0.2708407262835299, 0.41169976994657914]","[4, 2, 3, 1]","[5, 2, 6, 4, 3, 1, 1, 4, 6, 6, 3, 2, 2, 1, 1, 2, 4, 4, 3, 3, 6, 6, 1, 1, 2, 4, 3, 6]"
0.8,1,"[2.022568853900328, 0.4048777569562692, 0.37058029151888155, -0.36700704119317096, 0.9335551265377381, 1.5513175642834693]","[1, 6, 5, 3]","[6, 3, 4, 5, 2, 1, 5, 4, 2, 2, 4, 4, 6, 2, 3, 3, 3, 1, 5, 5, 2, 4, 4, 2, 2, 5, 5, 3, 1, 4, 4, 5, 3, 3, 3, 3, 4, 4, 4, 3, 3, 1, 5, 5, 5, 6, 6, 6, 6, 6]"
1.0,1,"[0.42304084783605245, 1.3223424593801294, 1.2300383910737547, -1.0295493543870857, 0.29568100776193906, 0.46389078344015733]","[2, 1, 3, 6]","[2, 1, 6, 3, 5, 4, 4, 3, 3, 2, 5, 1, 6, 6, 5, 4, 4, 3, 6, 6, 3, 3, 2, 6, 5, 5, 5, 5, 6, 6, 5, 5, 3, 3, 1, 1, 6, 6, 6, 5, 5, 3, 6, 6, 2, 1, 1]"
1.2,1,"[1.5877032239620632, 2.604373680121408, -0.26986872554997676, 0.6460714413350717, 2.5186680192041067, 2.0402417831409823]","[5, 2, 1, 6]","[2, 1, 5, 4, 3, 6, 6, 3, 3, 1, 6, 2, 6, 3, 3, 6, 5, 2]"
1.4,1,"[1.4346784284889924, 2.4570943020414635, 0.4277349204826447, 2.1816969423788666, 0.8919589911030974, 1.299275520224124]","[1, 4, 6, 2]","[6, 3, 5, 4, 1, 2, 5, 2, 1, 4, 5, 1, 2, 6]"
1.6,1,"[0.1609962336824371, 1.3450921204196853, 1.3708797110039714, 2.047171719054538, 2.8498513153240235, 0.7375031639802602]","[5, 4, 2, 3]","[1, 4, 5, 6, 6, 3, 2, 1, 1, 6, 6, 1, 5, 2, 4, 2, 3, 3, 3, 3, 4, 5]"
1.8,1,"[1.9539385894864392, 0.13550227371233525, -0.25657615685671087, 1.0832398769761913, 1.889965711784072, 0.7625636135861882]","[1, 6, 5, 4]","[5, 2, 3, 4, 6, 1, 4, 6, 6, 5, 5, 4, 3, 3, 1, 1, 6, 3, 5, 5, 3, 2, 2, 2, 4, 4, 4, 1, 1, 5, 5, 4, 4, 5, 6, 2, 2, 2, 2, 2, 4, 4, 4, 2]"
