avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[1.1621994240571998, -0.6505722292934965, 0.8103479700405375, 0.8250060193412061, -1.4529148984646143, -0.989727898626216]","[3, 2, 4, 6, 5]","[6, 6, 6, 6, 3, 5, 5, 5, 5, 5, 5, 1, 2, 4, 4, 2, 2, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1]"
0.2,1,"[0.15824588289864852, -0.2970704274903169, -1.604037835058886, 0.7101678413834285, 0.9370623278175694, -0.918228554443868]","[4, 5, 3, 2, 6]","[4, 5, 5, 3, 3, 3, 6, 6, 6, 6, 6, 1, 1, 1, 1]"
0.4,1,"[-1.4566255756712847, 1.20526261943135, 0.4199560145773828, 1.5981218979605938, 1.158410838680813, -0.5032630647922167]","[4, 2, 6, 5, 3]","[4, 4, 4, 6, 6, 6, 2, 1, 1, 1, 1, 1]"
0.6,1,"[1.4060985915847608, 2.2398214684136697, 0.24063398578272588, 1.8945454648112068, -0.9514381309803842, 1.045780611512011]","[2, 4, 1, 6, 3]","[4, 4, 2, 6, 6, 1, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3]"
0.8,1,"[0.9105587430153668, -0.4117128111640582, 1.2986667801198974, -0.905322800877892, 2.5492994624527947, 0.15008426283240306]","[1, 6, 5, 3, 2]","[1, 6, 4, 4, 4, 4, 4]"
1.0,1,"[1.6769963792465763, 0.688166991818258, 1.5672808405828482, 0.5858647882875616, 1.9167563454742202, 1.557219715281502]","[2, 5, 3, 4, 1]","[3, 5, 6, 6, 6, 6, 6, 6, 1, 1, 1, 4, 2, 2, 3, 3, 3, 3]"
1.2,1,"[1.5827342125271002, 0.9338728021612339, 1.091285887074168, 1.811099354338507, 2.3282830187605303, 1.3375971108832436]","[6, 2, 5, 4, 1]","[3, 3, 3]"
1.4,1,"[1.0728389152955369, 1.7930241448839168, 0.8707710345217052, 2.583081551941393, 0.23044569954039762, 1.1747201949476447]","[2, 1, 6, 4, 3]","[5, 5, 5, 5, 5, 4, 3, 3, 3, 3, 2, 2, 6, 1, 1, 1, 1, 1, 1]"
1.6,1,"[2.0512226436522045, 2.4302787030128323, 2.665456504617759, 0.8928901128938391, 2.401670253150163, 1.9189867670347849]","[6, 1, 4, 2, 5]","[2, 5, 4, 4, 6, 1, 1, 1, 1, 1]"
1.8,1,"[0.52932721063444, 3.212508858940282, 2.846746603697367, 2.7452570837838723, 2.008726340208602, 0.7459537974366419]","[3, 4, 5, 2, 1]","[5, 1, 4, 4, 4, 3, 6, 6, 6, 6, 6, 2, 2, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3, 3]"
2.0,1,"[0.273734569208943, 3.5946497301675753, 2.730135333131422, 1.8273845850617936, 3.6933766929664174, 1.1323598976520133]","[2, 5, 6, 4, 3]","[6, 3, 3, 3, 3, 3, 4, 2, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
0.0,2,"[-0.8973856044129808, -0.0009609903637606486, -1.1729968159719344, -0.4555766323551927, 1.4678997134571505, -2.29703741052045]","[1, 2, 4, 5, 3]","[1, 1, 2, 2, 2, 2, 2, 6, 6]"
0.2,2,"[-0.0964419313322909, 0.693305020741329, -1.381267538325512, 0.42742452727951463, 1.0186763074772158, 0.8072754678008522]","[3, 5, 4, 1, 2]","[3, 3, 4, 4, 4, 4, 5, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
0.4,2,"[1.529961768376746, 1.2208521144628164, 1.4149721773903488, 0.25671740059280124, 0.6969221417784536, 0.38079165965963785]","[5, 3, 1, 4, 6]","[5, 5, 5, 2, 2]"
0.6,2,"[1.3387215260802803, -1.4202240972946685, 0.8856725378282486, 1.7359535868043214, 0.33356051028163036, 0.6402729770963177]","[1, 4, 6, 3, 5]","[4, 1, 6, 6, 6, 6, 5, 5, 5, 5, 5, 2, 2, 2, 2, 2]"
0.8,2,"[-0.00706794333709182, 3.050454607519173, 0.6292872658009158, 0.6658029940739308, 1.4866221474128736, 1.031263830454528]","[2, 5, 3, 4, 6]","[2, 5, 5, 3, 6, 4, 4, 4, 1, 1, 1, 1, 3, 3, 3, 6, 6, 6, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 2, 2]"
1.0,2,"[0.0630761538699155, 1.94577397059148, -0.1413419466175534, 0.8692862203391392, 1.5167496812415096, 1.0582261324101794]","[4, 5, 6, 2, 3]","[3, 6, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4]"
1.2,2,"[0.5437520443213267, 1.359108484137757, 1.638722508447958, 1.505103185652712, 1.3861757806498847, 0.2738129768210934]","[2, 4, 1, 3, 6]","[5, 5, 5, 5, 5, 2, 1, 1, 4, 6, 3, 3, 3, 1, 2, 2]"
1.4,2,"[1.8063921766859647, 1.0267644869120491, 1.3131672868060744, -0.1615941003666188, 1.5614688773113992, 2.261354015799983]","[2, 1, 5, 4, 6]","[4, 4, 2, 3, 5, 5, 6, 6, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4]"
1.6,2,"[1.5930137164830889, 0.9421434428138367, 2.1382215288767923, 0.3125655772803808, 1.1339495383613514, 1.229965153927394]","[1, 6, 5, 3, 2]","[3, 5, 5, 1, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6]"
