sub_size,trial_idx,fix_num,fixated,duration,fixated_val,fixated_rank,is_chosen,mean_val,mean_seen_val
1,1,1,2,1,-0.4415289893227905,2,false,-0.6361885913541537,-0.4415289893227905
1,1,2,3,1,-0.5942503890560303,3,false,-0.6361885913541537,-0.5178896891894105
1,1,3,4,2,1.1279010461518901,1,true,-0.6361885913541537,0.030707222591023098
1,1,4,6,1,-1.9043930907022852,6,false,-0.6361885913541537,-0.453067855732304
1,1,5,5,2,-0.737754989092589,4,false,-0.6361885913541537,-0.510005282404361
1,1,6,1,4,-1.2671051361031176,5,false,-0.6361885913541537,-0.6361885913541537
1,1,7,3,4,-0.5942503890560303,3,false,-0.6361885913541537,-0.6361885913541537
1,1,8,2,4,-0.4415289893227905,2,false,-0.6361885913541537,-0.6361885913541537
1,2,1,1,5,-0.12386693462872495,5,true,0.3134902746050909,-0.12386693462872495
1,3,1,5,1,-0.7643751959509393,4,false,-0.9206322509746844,-0.7643751959509393
1,3,2,1,3,-0.19110721195117977,2,true,-0.9206322509746844,-0.4777412039510595
1,4,1,5,6,-0.002496058834855223,3,true,-0.709715252569726,-0.002496058834855223
1,4,2,2,2,-2.949812855920214,6,false,-0.709715252569726,-1.4761544573775345
1,4,3,1,4,0.13132181825567907,2,false,-0.709715252569726,-0.9403290321664634
1,4,4,3,4,-0.869133893518172,4,false,-0.709715252569726,-0.9225302475043905
1,4,5,4,1,-0.9261254155856365,5,false,-0.709715252569726,-0.9232492811206396
1,4,6,6,8,0.3579548901848422,1,false,-0.709715252569726,-0.7097152525697261
1,5,1,4,4,-0.41501205426357546,3,false,-0.42741807342792004,-0.41501205426357546
1,5,2,2,1,-1.9721632589409768,6,false,-0.42741807342792004,-1.193587656602276
1,5,3,5,2,-1.5135792418432499,5,false,-0.42741807342792004,-1.3002515183492673
1,5,4,3,5,-1.2261730423420907,4,false,-0.42741807342792004,-1.2817318993474731
1,5,5,1,1,1.0865176840573247,2,false,-0.42741807342792004,-0.8080819826665134
1,5,6,6,7,1.475901472765048,1,true,-0.42741807342792004,-0.42741807342792
1,6,1,6,4,-0.526849247840664,5,true,-0.29139144911328946,-0.526849247840664
1,7,1,4,1,-1.9062190800435048,6,false,-0.71075414342422,-1.9062190800435048
1,7,2,3,5,-0.7832432874113296,3,false,-0.71075414342422,-1.3447311837274172
1,7,3,2,1,-1.7504447249731676,5,false,-0.71075414342422,-1.479969030809334
1,7,4,6,1,-1.0681172480609251,4,false,-0.71075414342422,-1.3770060851222319
1,7,5,5,3,0.2085610575214853,2,false,-0.71075414342422,-1.0598926565934883
1,7,6,1,8,1.0349384224221212,1,true,-0.71075414342422,-0.71075414342422
1,8,1,2,4,1.8137822031422646,1,true,-0.039348049666953044,1.8137822031422646
1,9,1,5,5,0.8926876076127385,1,true,-0.025427300340789567,0.8926876076127385
1,10,1,2,5,0.715014136291957,1,false,-0.08318579972722663,0.715014136291957
1,10,2,4,7,0.07128473024378872,3,false,-0.08318579972722663,0.3931494332678728
1,10,3,5,5,-0.7723531234955269,6,false,-0.08318579972722663,0.004648581013406261
1,10,4,1,3,-0.44594862763663645,4,true,-0.08318579972722663,-0.10800072114910442
1,11,1,1,1,-0.38484035003505646,4,false,-0.5087986332794764,-0.38484035003505646
1,11,2,2,1,-2.347653046962114,6,false,-0.5087986332794764,-1.3662466984985853
1,11,3,6,3,-0.0166911148745788,2,true,-0.5087986332794764,-0.9163948372905831
1,12,1,6,7,0.50558462982868,3,false,0.07396446366407032,0.50558462982868
1,12,2,3,11,0.1356256670018698,4,false,0.07396446366407032,0.3206051484152749
1,12,3,2,6,1.2062143052323495,1,true,0.07396446366407032,0.6158082006876331
1,13,1,4,4,0.4937612735500343,2,true,-0.02229334404999207,0.4937612735500343
1,14,1,2,5,1.5183698379485402,2,true,0.5203447881413402,1.5183698379485402
1,15,1,4,1,-0.8015540751757747,6,false,-0.3216916476239462,-0.8015540751757747
1,15,2,3,2,0.08833621849226682,2,true,-0.3216916476239462,-0.35660892834175395
1,16,1,2,1,-0.3446401723128865,5,false,0.2886615649494418,-0.3446401723128865
1,16,2,1,1,-0.2679910960485046,4,false,0.2886615649494418,-0.3063156341806955
1,16,3,3,3,1.9081016352586992,1,false,0.2886615649494418,0.43182345563243607
1,16,4,6,7,0.7144380050961945,2,true,0.2886615649494418,0.5024770929983756
1,17,1,4,2,-0.4767630167964346,6,false,0.4632661358719461,-0.4767630167964346
1,17,2,3,5,0.6543645719787434,3,true,0.4632661358719461,0.0888007775911544
1,18,1,3,3,-0.9013444325750607,6,false,-0.059480641082700736,-0.9013444325750607
1,18,2,2,3,0.13486415584007877,3,true,-0.059480641082700736,-0.38324013836749093
1,19,1,1,1,2.9447066003820193,1,false,0.5913624739582023,2.9447066003820193
1,19,2,2,3,-0.8771944441499518,6,false,0.5913624739582023,1.0337560781160338
1,19,3,6,1,0.7896105599306307,3,false,0.5913624739582023,0.9523742387208993
1,19,4,4,2,-0.1659356007735784,4,false,0.5913624739582023,0.67279677884728
1,19,5,3,3,1.1178274053564283,2,true,0.5913624739582023,0.7618029041491096
1,20,1,1,4,0.4115314756979008,3,false,0.06532423102705884,0.4115314756979008
1,20,2,5,1,-0.23486747664748267,5,false,0.06532423102705884,0.08833199952520905
1,20,3,4,3,1.4705654386251816,1,true,0.06532423102705884,0.5490764792251999
1,21,1,1,2,0.9227246120390306,2,false,0.464801612246501,0.9227246120390306
1,21,2,5,2,1.909534765913589,1,true,0.464801612246501,1.4161296889763098
