avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-0.12400458771569074, -0.5023404487758917, 0.31449398866649386, 0.5937057500750039, -0.4016420294240144, -0.39998130182575764]",[5],"[6, 2, 5, 1, 3, 4, 4, 5, 5]"
0.2,1,"[-1.2409294713208128, 2.022592098750182, 0.0321097745635352, -0.38264006494383856, -2.0542595224348843, 0.4492407769821247]",[2],"[1, 2, 3, 5, 4, 6, 1, 3, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 3]"
0.4,1,"[0.22934704021254612, 0.9050882024654758, -1.2506638764838622, -1.3634122509099162, -0.2580971818634108, 0.862951960910242]",[2],"[4, 5, 6, 6, 5, 5, 6, 6, 5, 5, 3, 3, 2, 2, 2, 2, 2, 6, 6, 2, 2, 6, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2]"
0.6,1,"[-0.9623464862513086, 0.14739798236149682, 0.6037328603980165, 0.2305599344677462, 1.509526700686483, 0.7564201466555107]",[6],"[2, 4, 6, 6, 4, 4, 1, 3, 3, 3, 6, 6]"
0.8,1,"[-0.27062401740047903, 1.1946747443080938, -0.8628029554477823, 2.131936708310015, 0.3512709365909849, 0.157325239133417]",[4],"[1, 4, 4, 2, 2, 5, 5, 6, 3, 1, 4, 2, 2, 4, 4, 2, 5, 5, 5, 5, 4]"
1.0,1,"[3.2263667643996152, 0.5396652003524489, 0.5475267798248694, 3.0257080726987344, 1.0439609952560607, 0.3424571883157016]",[1],"[2, 6, 5, 4, 4, 2, 2, 4, 4, 2, 2, 4, 4, 2, 2, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1]"
1.2,1,"[-0.024182659871925027, 2.004054713340614, 2.296202452313609, 1.1497680872632607, 0.18032190865533115, 1.1188227375532651]",[3],"[5, 2, 3, 1, 6, 6, 4, 4, 3, 3]"
1.4,1,"[2.16723893903356, 0.3918834678986489, 0.6391576519965632, 1.423950681471811, -0.6141411025922441, 1.024789504329043]",[1],"[1, 6, 6, 1, 1, 6, 6, 1, 1, 6, 6, 1, 1, 6, 6, 6, 1]"
1.6,1,"[3.0160172869123762, 0.29630290098328294, 0.9105438527908506, 2.13725266567674, 2.929520739678371, 2.6825391892557415]",[1],"[5, 1, 1]"
1.8,1,"[0.7717197493036219, 2.96855263991739, 3.4001387594790726, 1.7215319272411458, 2.5478014868556444, 1.825623195492932]",[3],"[3, 4, 4, 3, 3]"
2.0,1,"[1.7396173421299044, 3.053795190662147, 2.3231192696888296, 1.3813125906646453, 2.4346138895437934, 1.4644619086916655]",[5],"[5, 2, 2, 5]"
0.0,2,"[0.7825977132175436, 0.590256593626854, -0.6934318592413816, 0.8357324368747127, -0.23432215018311678, -0.2613886042576447]",[4],"[4, 5, 6, 1, 3, 2, 2, 4, 6, 2, 4, 4, 2, 2, 4, 4, 2, 2]"
0.2,2,"[2.0705202675820864, 0.41877976855482324, 0.5052857975412257, 1.063307539759668, -0.5144166884609307, 0.32132394687271204]",[1],"[4, 3, 6, 6, 4, 2, 2, 2, 1, 1, 1, 1, 1]"
