avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-1.8480805718306894, -0.1676584858953353, 0.37782525344004403, 0.07966447431814698, 0.7349258900411012, 0.53470970556543]",[6],"[6, 6, 6, 6, 6, 6]"
0.2,1,"[-0.12211774277294746, 2.663516341040645, 0.897872254848946, 1.6502022697270595, 1.0639091086228312, 1.0414719084982456]",[5],"[5, 5, 5, 5]"
0.4,1,"[0.8394008507605317, -0.2215065639585717, 0.775041718918652, 1.0213801709872086, 2.4914785048255306, 1.614286177062115]",[1],"[1, 1, 1, 1, 1, 1]"
0.6,1,"[1.6664851012840032, 1.6777898664928506, 0.6643861360724425, 1.0316790250984056, -0.638408378364954, 0.7260338765776794]",[1],"[1, 1, 1]"
0.8,1,"[0.6695244464995489, 0.4014579731459002, 0.14326074280392942, 0.73485564817968, 2.1482893267847807, 1.7297239503909414]",[5],"[3, 2, 1, 1, 1, 6, 6, 6, 6, 6, 5, 5, 5]"
1.0,1,"[0.25624565355035755, 0.15146877757541544, 0.1577562687686921, 0.7700361957192304, 0.18570821174060925, 2.158291512091883]",[5],"[6, 6, 6, 4, 4, 5, 5, 5, 5]"
1.2,1,"[1.1601492856544802, 0.21641177779486376, 1.016257169390094, 0.18765176590996502, -1.2172295816470446, 2.152940632338709]",[1],"[1, 1, 1]"
1.4,1,"[3.296469108823306, 0.8995325251835616, 0.9600713977885413, 1.4133720698105237, 3.1601924292752197, 1.244442987383011]",[3],"[3, 3, 3, 3, 3]"
1.6,1,"[3.8323559866656463, 1.2576989843204407, 0.6659594482523531, 2.2989860544302942, 1.4284837351667987, 2.6355757041212455]",[1],"[3, 2, 2, 2, 2, 6, 6, 1, 1]"
1.8,1,"[0.7954224959910203, 0.9286083808548343, 0.9112514390714854, 0.8795631604326593, 2.852385742165586, 2.720469903580796]",[5],"[5, 5, 5]"
2.0,1,"[4.613624211722555, 3.102122554516841, 2.4749245661709356, 1.442187174081814, 2.3769682055246206, 2.777202702694618]",[2],"[2, 2]"
0.0,2,"[1.5304632059922956, 2.0540519491927287, -0.07569723842920237, -1.2480557511938273, -0.43876765739743157, -0.03814262023144891]",[2],"[3, 6, 2, 2, 2, 2]"
0.2,2,"[0.5716501833319141, -1.2091495100053056, 1.2293511252561953, -0.03604769493463264, 0.1923557114990113, 0.1974236109979332]",[1],"[6, 6, 6, 6, 6, 6, 4, 5, 5, 5, 5, 3, 3, 3, 1, 1, 1]"
0.4,2,"[0.015276255785477144, -0.6482081567649208, 0.43345865909381964, 2.8065783929468506, 1.613619638885834, 1.201606757053507]",[6],[6]
0.6,2,"[-1.009357344609994, -0.23559586901062468, 1.306093150282794, -0.0004093385772235836, -0.8218245633054319, 1.323013415474975]",[6],"[5, 1, 1, 1, 1, 1, 2, 2, 6, 6]"
0.8,2,"[-0.4392530521547384, 0.6017231512800734, 0.031741936611758614, 2.1626504182700286, 0.6815549270342443, 0.4649586590085036]",[3],"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3]"
1.0,2,"[0.27449610601592656, 1.6685050804406165, 3.0081609019626434, 1.281144362527797, 3.552454193992119, 0.22672790492530193]",[6],"[6, 6, 6]"
1.2,2,"[-0.4619927025885986, 0.4243365596344638, 0.8799354060147491, 2.602695885281297, 0.7139864769202438, 1.0252187455338184]",[3],"[3, 3, 3]"
1.4,2,"[2.3683923241683935, 1.6534230831796162, 0.06414860462530925, 1.9493754446339344, 0.8584658469913834, 0.7154671025579538]",[4],"[5, 3, 2, 4, 4, 4, 4, 4, 4]"
1.6,2,"[2.7750514035022276, 1.3603915848781025, 1.8833353469864555, 3.087978309612793, 1.6124587197360718, 1.5599482327234162]",[1],"[6, 2, 1, 1, 1]"
1.8,2,"[2.2204679914309002, 2.856148612026269, 1.836717758197626, 3.209526204164292, 2.094981895224424, 1.4514367576779763]",[3],"[3, 3, 3, 3]"
2.0,2,"[-1.7707355530165012, 1.7325768896856784, 1.7084812137497516, 1.4631149093268685, 2.7089884917230673, 1.6528643398695624]",[6],"[6, 6, 6, 6]"
0.0,3,"[-1.185727882610078, 0.4150738284700556, 1.3979624631337075, -0.39144955560717276, 0.6860026744743799, 0.7389618353870584]",[5],"[5, 5, 5, 5]"
0.2,3,"[0.3391227881093286, -0.34390781115787633, 0.42208248565906337, 0.47535216247311707, -0.46139512041815994, 2.029294002159365]",[1],"[3, 6, 6, 2, 2, 5, 5, 1, 1, 1]"
0.4,3,"[1.7412961383147554, -0.9551995118445787, 0.46857831288567325, 1.2830264148106334, -0.42744866458747033, 2.4046598132223886]",[6],"[2, 2, 5, 5, 5, 6, 6, 6]"
0.6,3,"[0.7211177241153921, 0.44332425970069084, -0.1723066986353503, -1.0195439092413632, 0.7979543519238896, 0.7155959978742447]",[2],"[4, 4, 4, 4, 5, 2, 2, 2, 2, 2]"
0.8,3,"[-0.1564211781706356, 1.2815051010010827, 0.6070036370214787, -1.2325387781739885, 0.6159015624331434, 1.2649786380556787]",[6],"[5, 2, 2, 2, 1, 3, 3, 3, 3, 3, 6, 6, 6, 6]"
1.0,3,"[1.7120419536259024, -0.10313923738018538, 1.2352924997011323, 1.5449843334575113, -0.17420081345809768, 1.4034846587907495]",[4],"[3, 3, 6, 5, 4, 4, 4]"
1.2,3,"[1.1290439013248499, 0.7201498451895155, 0.9219879527954278, 0.9440966239208883, 1.1667075473456967, 1.2734260502535601]",[3],"[3, 3]"
1.4,3,"[0.9583035036680758, 3.829681959058528, 1.1719099169271217, 1.9628160538289294, 0.017615969081332228, 1.2202399169057285]",[6],"[6, 6, 6, 6, 6]"
1.6,3,"[1.0196904392805544, 0.3502121367879625, 1.471638782307374, 2.242384544411373, 1.1819431329973606, 1.3604110761563701]",[2],"[2, 2, 2, 2, 2]"
1.8,3,"[2.2753392686171026, 1.113055209137121, 2.6102911251600154, 0.09446639912613031, 1.5675107698900757, 1.921624305044422]",[3],"[3, 3]"
2.0,3,"[3.1821104543862013, 2.1828057180606044, 1.454560824669306, 0.8641103889069395, 0.726731075525886, 2.4414519578818155]",[3],"[3, 3]"
0.0,4,"[0.3608460828115773, -0.3187677618780969, -0.3235718133411943, 0.3381813630135674, -0.8372251107288607, 1.099845902224067]",[4],"[4, 4]"
0.2,4,"[1.688797359065684, 2.3175859374578245, 0.3996089983667841, -0.010369480569389106, 1.4958922166801687, 0.007953553969884036]",[1],"[3, 3, 3, 3, 1, 1, 1]"
0.4,4,"[0.5288982823751653, 1.2696748698622882, 0.6137022447572835, -0.7239213097279528, 1.1791230672723851, 0.6437934530579462]",[2],"[3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 1, 1, 2, 2]"
0.6,4,"[1.9911659124442518, 2.5462651299522676, 0.6126127904405206, -1.1576510181068196, 1.2785653037060087, -0.6841454966819397]",[5],"[5, 5, 5, 5, 5]"
