avg_value_idx,trial_idx,ss,choice,fixations
0.2,3,"[0.29644631617578177, 1.0980672380026122, 1.293647011698739, -0.31274179233322214, 0.7046767863704029, -0.4781881942048705]","[3, 5, 1]","[3, 5, 4, 4, 6, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6]"
0.4,3,"[0.3893183201385831, -1.0115137791688187, 1.1466381296789985, -0.3158174730861013, 0.7716759825428874, 0.4528141665283145]","[1, 3, 4]","[1, 2, 5, 6, 6, 6, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 5, 5, 5, 5, 5, 5, 5]"
0.6,3,"[2.2259912548189598, -0.05124309929517956, 0.38744535915256473, 0.9408681583614988, -0.7370131015711444, 1.847170061487359]","[6, 4, 1]","[4, 1, 5, 5, 3, 3, 3, 3, 2, 2, 6, 6, 6, 1, 4, 4, 4, 6]"
0.8,3,"[1.7901043083112622, 1.0641505567145289, 0.6981432286501993, 1.4215857451099905, 0.8344276425209433, 0.35672027944528817]","[5, 4, 6]","[5, 5, 3, 3, 3, 3, 4, 2, 1, 1, 1, 1, 1, 6, 6, 6, 6, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
1.0,3,"[1.3006414784092437, -0.2582063349526138, 1.1867861685807455, -0.5235239432388752, 0.23159846743475665, -0.09507720781915019]","[3, 2, 6]","[2, 1, 1, 5, 4, 4, 3, 6, 6, 6, 6, 6, 6, 6, 6]"
1.2,3,"[0.9570631658821165, 1.2734122926997895, 1.3236390586257296, 0.1437623220258495, 1.1910731051886414, -0.5072319459791446]","[3, 5, 1]","[3, 6, 6, 4, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4]"
1.4,3,"[1.2006917046304924, 0.7391746936338882, -0.10551752495842193, 1.7744319686663395, 1.2371121586968599, 2.0810544066662953]","[6, 2, 1]","[5, 1, 2, 6, 6, 4, 4, 4, 4, 4, 4, 4, 2, 1, 1, 1, 6, 6, 6, 6, 6, 6]"
1.6,3,"[3.143595512960033, 0.3182798240622142, 3.307243204085083, 0.37006047280799415, 2.156623045425537, 1.176101827663377]","[1, 6, 3]","[3, 2, 1, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2]"
1.8,3,"[1.9418473775847476, 4.29563172145148, 0.15861869957376729, 1.1884015519100142, 0.2848449058126763, 1.44268125159135]","[2, 6, 4]","[4, 6, 5, 5, 5, 5, 3, 1, 1, 1, 2, 4, 4, 6, 6, 6, 6]"
2.0,3,"[1.6709914811389752, 2.531367923138765, 2.2405026879849146, 4.2271933651665545, 2.1468746291004965, 4.051944005643639]","[4, 6, 3]","[2, 2, 6, 4, 4, 3, 3, 3, 3, 3, 3, 3]"
0.0,4,"[1.4897342009099885, -0.26425354511870824, 0.5894555792138405, -1.3837952635658692, 0.7528805807420998, 0.12820990238154828]","[4, 6, 2]","[5, 5, 5, 6, 3, 2, 4, 4, 4, 1, 1]"
0.2,4,"[-1.7018340191976822, 0.6696229580367625, -0.2930512860978896, -1.548728249950002, 1.9825889109484334, 0.15747720551686634]","[2, 3, 5]","[6, 6, 6, 1, 5, 5, 5, 5, 5, 4, 4, 4, 3, 3, 2, 2]"
0.4,4,"[0.4387754871453282, 0.08621336771216664, -0.5469066443573692, -0.42269424840146197, -0.211711974850452, -1.4645905595675028]","[4, 1, 5]","[4, 6, 3, 3, 1, 5, 5, 5, 5, 2, 2, 2, 2, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5]"
0.6,4,"[-0.5778381953670405, 0.03848525931791402, -0.22451692155401903, 1.0696614828621764, 0.73370844169323, 1.109542566477957]","[4, 5, 2]","[2, 1, 1, 3, 6, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4]"
0.8,4,"[-0.29893171815362174, 0.8127399935764732, 0.7809564193672823, -0.23480244181348775, 0.004578047226165838, 1.7978932370049967]","[3, 6, 4]","[5, 4, 2, 1, 6, 6, 6, 3, 3, 3, 5, 5, 5, 5, 5, 5, 4, 6, 6, 6]"
1.0,4,"[2.0830640827548303, -0.06562200682384423, 0.8577663117751333, 0.9730472472921309, 0.7244355847639248, 0.0072478372038515815]","[5, 4, 1]","[6, 4, 1, 5, 5, 5]"
1.2,4,"[3.4723611701377264, -0.7947335397208319, 0.5082841363015712, 0.9682617892212919, -0.4454455694541477, 1.6163026272118837]","[4, 1, 6]","[1, 1, 2, 6, 6, 4, 4]"
1.4,4,"[0.45582261222127474, 1.4408420154767279, 1.5318993886277903, 1.4015327274864724, 3.258231347280779, 2.6523816203716315]","[6, 3, 5]","[4, 6, 1, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 6, 6, 6, 6, 6, 2, 2, 2, 2]"
1.6,4,"[2.2053994102534604, 2.129405269806753, 0.6841834671891722, 2.721693994339737, 1.706911971242454, 2.8476755522326673]","[6, 3, 4]","[1, 3, 4, 4, 6, 6, 6, 6, 1, 1, 1]"
1.8,4,"[2.162259729805246, 3.2949003502791783, 2.4471941148741636, 2.5059217590849094, 1.9887108760558678, 3.3172296500046357]","[2, 1, 3]","[4, 2, 1, 1, 3, 3, 3, 2, 2]"
2.0,4,"[0.8503013046391736, 1.6596108096957378, 1.13165071263135, 1.7125170237744238, 1.9795195790900253, 1.7600504106932298]","[3, 5, 4]","[4, 4, 2, 1, 1, 1, 5, 5, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
0.0,5,"[2.1023437069571274, -0.2796977378712128, 0.019745616324364095, -0.22709239600433803, 0.8856191259303569, 1.368193977610358]","[3, 5, 6]","[1, 5, 2, 3, 6, 6, 6, 6, 4, 4, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4]"
0.2,5,"[0.04865202194345011, -0.8171447304597981, 0.9934168622156341, 0.2479295943544745, 0.7335069054370353, -0.763933851488088]","[3, 2, 4]","[1, 1, 1, 6, 2, 4, 5, 3, 3, 3, 3]"
0.4,5,"[-0.7184480582264235, 1.8596909933660588, 0.8404536939549487, 1.3920843780809826, 0.5549403223660256, 0.43307972812265383]","[4, 2, 5]","[6, 6, 1, 1, 1, 4, 2, 2, 2, 3, 3, 3, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5]"
0.6,5,"[-1.404723647518415, -0.21473714938315291, 0.44507971247254485, 1.4557667660119762, 1.7044196099436877, -0.5748968808684324]","[5, 3, 4]","[1, 1, 2, 4, 4, 3, 5, 6, 6, 6, 6, 6, 6, 6, 6]"
0.8,5,"[2.2919476535798773, 1.909342434723081, 1.2924927628447418, -0.3890120183582524, 1.2584460042444525, 1.5105110223467801]","[1, 2, 6]","[3, 6, 2, 1, 1, 1, 1, 1, 1]"
1.0,5,"[0.21078755662803905, 2.762607048586064, 1.2211957822552595, 0.039027171214390255, 0.8079347938306122, 0.8291534540462628]","[2, 3, 6]","[2, 5, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 2, 2, 2, 2]"
1.2,5,"[0.232227982244694, 0.11664985205836409, 0.42140457924031094, 1.059655493421591, 1.3758583111280551, 2.233831701405184]","[6, 4, 5]","[3, 1, 4, 4, 2, 5, 5, 5, 5, 6, 6, 6, 1, 1, 1]"
1.4,5,"[0.7436937900518518, 2.0765708024025775, 3.189287663274317, 1.3573975235883176, 1.7243239445429588, -0.4296223557305954]","[5, 4, 2]","[6, 2, 3, 3, 1, 1, 1, 4, 4, 5, 5, 5, 6, 6, 6, 6]"
1.6,5,"[2.525117644220244, 1.3006736321385157, 2.3147842617804444, 2.565805607719842, 1.669330599452158, 1.446824048515275]","[4, 5, 2]","[1, 1, 5, 4, 2, 2, 2, 2, 5, 5, 4, 4]"
1.8,5,"[1.996786379672967, 2.1397953261117797, 3.9692012098675553, 2.16818503330878, 2.0118395551991055, 1.6326421417101424]","[3, 2, 1]","[6, 2, 3, 3, 5, 5, 5, 5, 6, 6, 6, 6, 1, 1, 1, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2.0,5,"[3.112592490962621, -0.4618802416587333, 2.2684556129576214, 0.7278095402454596, 1.2415907399663073, 2.7210468343712058]","[1, 3, 6]","[4, 6, 5, 1, 2, 3, 5]"
0.0,6,"[-0.0017105707609656035, -2.54221813329238, -0.9632056270068317, -0.1930683649383283, -0.7658352665509505, -1.076086709097887]","[1, 4, 5]","[4, 6, 3, 5, 5, 1, 1, 1, 2, 2, 2, 2, 2]"
0.2,6,"[0.7818442740162599, 0.25191357246380525, -0.20713858832602822, 1.7732197413586732, -0.8961514353770534, 0.11327133178489762]","[1, 4, 3]","[6, 6, 2, 2, 2, 1, 3, 3, 3, 4, 1, 1, 1, 6, 6, 6, 5, 5, 5, 5, 5]"
0.4,6,"[-0.598129835357181, -0.2132550788982709, 0.3937020725881042, 1.0237209521660044, 0.6923809624164569, 0.11191279981513763]","[1, 3, 5]","[4, 3, 3, 2, 2, 1, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
0.6,6,"[2.378678377426465, 1.0336434617805756, 0.3787924526095048, 1.0137696820872977, 1.445316490688374, 0.6590382563449886]","[4, 1, 5]","[2, 2, 3, 6, 1, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
0.8,6,"[-0.32085026387190974, 1.2079174983567884, -0.5997698240731106, -0.649370423118186, 0.4593163547037096, -0.08042284543720457]","[5, 3, 4]","[5, 5, 6, 1, 2, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3]"
1.0,6,"[1.4594916664756645, 1.4260799716639938, 0.8177082845106154, -0.07465595774784917, -1.2086267451242274, 1.0459105667014041]","[2, 4, 5]","[3, 3, 5, 5, 2, 1, 1, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
1.2,6,"[3.103885000331447, 1.6068034379578433, 2.5413620721716965, 2.775934982133787, 1.462042772516781, 1.4232855652851155]","[3, 1, 2]","[3, 6, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]"
1.4,6,"[1.4125136370996498, 0.5740144923247088, 0.20495714942519738, 1.400358731754406, 2.0481731507476715, 1.8505278868808865]","[4, 5, 6]","[5, 1, 3, 3, 6, 6, 6, 6, 6, 4, 4, 5, 5, 5, 1, 1]"
1.6,6,"[1.7075331962972498, 1.9687204994894918, 0.6934814997249614, -0.30008419300805245, 1.2849031766366905, 1.4649780839546334]","[2, 3, 6]","[6, 5, 5, 1, 1, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4]"
1.8,6,"[1.2702468478595592, 2.4115730040123657, 3.275272287155569, 1.431709183255553, 0.47298068885963374, 0.42121418368616514]","[1, 3, 2]","[2, 2, 5, 6, 6, 6, 4, 4, 3, 3, 5, 5, 5, 1, 1, 1, 2, 2]"
2.0,6,"[2.2608961314945395, 3.3272840279165057, 1.4193483529484823, 0.5782809495002297, 2.782019497691712, 3.2183950272250765]","[6, 2, 5]","[3, 1, 5, 2, 2, 6, 6, 6, 6, 1, 1]"
0.0,7,"[-0.7458141367619316, -1.1358903961823328, 0.4028091165371384, -2.0098639920608217, 0.6759339418282908, -0.80249506172248]","[1, 2, 5]","[3, 3, 4, 1, 1, 1, 2, 2, 2, 5, 6, 6, 6, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
0.2,7,"[1.466279790808654, -1.208739238114736, -0.3417080139117193, 1.4242116197584114, -1.5097063531994726, -0.8900928413493474]","[1, 4, 3]","[5, 5, 1, 6, 6, 2, 2, 2]"
0.4,7,"[0.7486019539603089, 0.47363378619498575, 0.2139255167660585, 1.1049005170345383, 0.4623656563226103, -0.5436385293315972]","[4, 6, 1]","[4, 6, 6, 6, 3, 5, 5, 2, 2, 2, 1, 1, 1, 1, 1]"
0.6,7,"[0.7252423487742807, 1.1137762104431839, 2.736461847254763, 1.4130066360137963, 1.5790332256533481, -0.052333448761398005]","[5, 3, 2]","[6, 6, 4, 3, 1, 1, 2, 2, 2, 5, 5, 5]"
0.8,7,"[-0.8984939898417674, 0.38580823478269927, 1.444574526820193, 2.1996700310561916, 0.38228775983547025, 2.6771358950588087]","[6, 5, 4]","[5, 1, 4, 6, 6, 6, 2, 2, 2, 2, 2, 2, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
