sub_size,trial_idx,fix_num,fixated,duration,fixated_val,fixated_rank,is_chosen,mean_val,mean_seen_val
1,737,3,1,5,-0.6271705895778512,3,true,-0.3545956480949861,-0.4605440211394664
1,737,4,3,3,-0.03675052896154526,2,false,-0.3545956480949861,-0.3545956480949861
1,737,5,4,6,-0.7990148956979525,4,false,-0.3545956480949861,-0.3545956480949861
1,737,6,1,3,-0.6271705895778512,3,true,-0.3545956480949861,-0.3545956480949861
1,738,1,1,2,-0.7893240825337521,4,false,0.7560786306488085,-0.7893240825337521
1,738,2,2,1,0.9917751166732347,2,false,0.7560786306488085,0.10122551706974131
1,738,3,4,6,-0.028784266809129988,3,true,0.7560786306488085,0.05788892244345086
1,739,1,2,2,2.0467372418851486,1,true,0.2276865937802131,2.0467372418851486
1,740,1,2,2,-0.018608066988107526,2,false,-0.3014323824744596,-0.018608066988107526
1,740,2,1,5,-1.319719420904235,4,false,-0.3014323824744596,-0.6691637439461713
1,740,3,4,1,0.9948757094804446,1,false,-0.3014323824744596,-0.11448392613729937
1,740,4,3,11,-0.8622777514859404,3,true,-0.3014323824744596,-0.30143238247445964
1,740,5,2,2,-0.018608066988107526,2,false,-0.3014323824744596,-0.30143238247445964
1,740,6,1,2,-1.319719420904235,4,false,-0.3014323824744596,-0.30143238247445964
1,741,1,3,2,0.4462195572532667,2,false,0.11204417783901008,0.4462195572532667
1,741,2,4,2,-0.648033314093731,4,false,0.11204417783901008,-0.10090687842023216
1,741,3,2,6,-0.34107843737640164,3,true,0.11204417783901008,-0.18096406473895532
1,741,4,1,9,0.9910689055729063,1,false,0.11204417783901008,0.11204417783901008
1,742,1,3,2,1.471828270473613,1,true,0.05659549401242851,1.471828270473613
1,743,1,4,3,-0.7146208338747594,3,false,-0.28874941456026626,-0.7146208338747594
1,743,2,1,2,0.7707698165507302,1,true,-0.28874941456026626,0.028074491337985397
1,743,3,2,1,-0.24433078336793904,2,false,-0.28874941456026626,-0.06272726689732273
