avg_value_idx,trial_idx,ss,choice,fixations
0.0,1,"[-0.08957268143683958, -0.6318508766991976, -1.1823191071946468, 0.060154497515228944, 0.06258128178539288, 0.127849784902949]","[5, 6, 4, 1]","[5, 5, 6, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 3, 3, 3, 3, 3, 3]"
0.2,1,"[1.0675133698437282, 0.07989487887948067, -0.00047528789833733986, 0.8770806948369869, -1.25417091678824, 0.1705477053550896]","[4, 1, 6, 3]","[3, 2, 5, 5, 5, 5, 5]"
0.4,1,"[-1.2348250054739558, 1.5543801091196103, 1.3546318521616185, 1.9851948974825548, 0.9575478974248703, 1.0607755033834576]","[2, 3, 1, 4]","[1, 6, 6, 3, 3, 3, 5, 4, 4, 2, 2]"
0.6,1,"[1.2506036921496886, 1.1196339201289516, 1.3787542917667146, 0.6181567830859963, -0.48639788423404917, -0.26871904592531215]","[1, 6, 2, 4]","[2, 6, 6, 4, 3, 3, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.8,1,"[1.6495589464180074, 2.2970391188830153, 0.6422757758791553, -0.11897074846854183, -1.6810940604494478, 0.23794874931079846]","[1, 2, 3, 6]","[4, 4, 5, 5, 1, 2, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
1.0,1,"[1.0789605590997222, 0.39279917979933654, 1.1999658226368275, 0.4566693748581122, 2.3718482455558956, 1.972251004413252]","[5, 6, 3, 1]","[4, 3, 2, 2, 2, 6, 6, 5, 5, 1, 1, 1, 6, 6, 3, 3, 3, 3, 3, 5, 5, 5]"
1.2,1,"[0.8832208917126467, 2.904134908390185, 1.0444818317015532, 1.4078566343746934, 1.8892897314517438, -0.2739273470599428]","[2, 1, 5, 4]","[1, 1, 1, 4, 2, 5, 6, 6, 6, 6, 6, 6, 4, 4, 4, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]"
1.4,1,"[1.4479032861171222, 1.2636257480693078, -0.09724123880104973, 0.9623266764380922, 2.621345158051133, 2.8424425820936974]","[6, 1, 4, 2]","[3, 2, 1, 6, 6, 6, 4, 4, 3, 3, 2, 1, 1, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6]"
1.6,1,"[2.0575684483214447, 0.5241398660042997, 2.151245959905453, 2.8641000060107675, 1.636147799016089, -0.2119660470798712]","[1, 4, 3, 5]","[5, 6, 1, 1, 3, 4, 4, 6, 6, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1]"
1.8,1,"[2.7265019488932674, 4.148716869548124, 1.251271826251012, 1.421856493508622, 2.8312174287901244, 1.9591672938302227]","[4, 5, 1, 2]","[5, 6, 6, 1, 2, 3, 3, 4, 4, 4]"
2.0,1,"[4.206932517131849, 3.120999625653286, 0.8294501825109859, 3.1128740820975453, 1.8242974923678388, 2.530982004647007]","[4, 1, 3, 5]","[5, 4, 3, 3, 1, 1]"
0.0,2,"[1.6194880910900833, 1.1362582415473566, -0.33410101283576266, -0.03692080386504824, -0.9407335368047068, 0.085138864126757]","[1, 2, 3, 6]","[5, 5, 6, 6, 6, 6, 4, 4, 4, 4, 5, 5]"
0.2,2,"[0.05855308707751489, -0.2885772364681513, -0.14479771397178803, -0.16911413128508573, 1.0551393761051724, 1.3939749825277759]","[5, 6, 4, 3]","[3, 2, 1, 1, 1, 1, 1, 5, 5, 5, 6, 6, 6, 6, 4, 4, 4]"
0.4,2,"[1.6061525700951549, 0.7052196525117657, 1.9006235392785809, 0.47983050087271806, 0.3379801187686016, 1.238178224195348]","[1, 6, 3, 4]","[6, 5, 5, 3, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 6, 6, 3, 3, 3, 5, 5]"
0.6,2,"[1.806553856760912, 0.19161501111687496, 0.8689594882837337, 2.876728884420649, 2.1525677783138284, 0.1604467638478292]","[5, 1, 4, 2]","[6, 6, 5, 4, 3, 3, 3, 2, 1, 1, 1, 1]"
0.8,2,"[1.8684798756531005, 0.48931530495442366, 1.4474915090401552, 0.9160864199724804, -0.12584426515818647, -0.38447255584686135]","[2, 3, 4, 1]","[2, 2, 6, 4, 5, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 5]"
1.0,2,"[-1.2083332304532615, 1.0284716283425894, -0.35834677127261716, 0.9190587089269671, 0.17867834663145143, 0.2044822518901438]","[6, 4, 2, 5]","[6, 5, 5, 3, 4, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2]"
1.2,2,"[0.4515714252854711, 1.1253428717732905, 0.3104857369954027, 1.5312071741429505, 1.0827097632104918, 0.5261392395620929]","[5, 4, 1, 2]","[5, 1, 1, 3, 3, 2, 2, 2, 2, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
1.4,2,"[3.3272995369655183, 1.37240092185578, 2.6659664848257423, 2.2643186700633535, 1.2140429110935644, 2.624810442817945]","[4, 2, 3, 6]","[3, 1, 1, 1, 2, 5, 5, 4, 4, 6, 6, 2, 2, 3, 3, 6, 6, 4, 4, 4, 4]"
1.6,2,"[1.5862045297184644, 2.325366857415297, 2.0913939131297963, 1.3396893730856347, 1.5029295122852566, 0.7934115466360478]","[1, 3, 2, 5]","[2, 6, 4, 5, 1, 1, 3, 3, 3, 5, 2, 2, 2, 4, 4, 4, 5, 5, 5, 5, 1, 1, 1, 3, 3, 3, 4, 4, 4, 4, 4]"
1.8,2,"[2.9959952417694655, 2.576486379259781, 1.869852766132706, 0.543285438158233, 1.3580485304700263, 1.6293621580430873]","[1, 2, 5, 6]","[5, 2, 4, 4, 1, 6, 6, 6, 1, 1]"
2.0,2,"[1.3966774331906278, 1.0265893436099356, 2.539193073777079, 2.437163946092566, 3.7216103626955803, 1.5198956632943725]","[6, 5, 2, 1]","[3, 4, 2, 1, 1, 5, 5, 6, 6, 6]"
0.0,3,"[0.8041261837977524, 2.0270735532568898, -1.4217076573441036, -0.7916005681408081, 0.1704974996967929, -0.8149818010609219]","[6, 4, 1, 2]","[4, 3, 3, 1, 1, 2, 5, 5, 5, 5, 6, 6, 6, 6]"
0.2,3,"[0.45973945692057205, -0.7482067538514781, -0.4198760070758238, 2.0277857523275413, 0.6845284824785762, 0.03965706177505923]","[4, 1, 5, 3]","[2, 5, 6, 6, 6, 6, 6, 3, 3, 1, 1, 1, 1, 1, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
